idFamily;nameFamily;link
1;Informàtica;https://treball.barcelonactiva.cat/porta22/cat/sector/pagina51497/tic.do
2;Administratiu;https://treball.barcelonactiva.cat/porta22/cat/sector/pagina51565/organitzacions-i-negoci.do
3;Automoció;https://treball.barcelonactiva.cat/porta22/cat/sectors/sectors.do
4;Manteniment i serveis a la producció;https://treball.barcelonactiva.cat/porta22/cat/sector/pagina51495/industria-manufacturera-i-40.do
5;Fabricació mecànica;https://treball.barcelonactiva.cat/porta22/cat/sector/pagina51495/industria-manufacturera-i-40.do
6;Aigües;https://treball.barcelonactiva.cat/porta22/cat/sector/pagina51492/economia-verda-i-circular.do
